         DIMENSIONS OF WELDED AND SEAMLESS TEE (¥‹¿ß;lbs)
TEE
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+
|PIPE | OUT- | SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH.| SCH. | SCH. |
| 3.5 |101.60|     |     |  4.5|  4.5|     |  6.0|  6.0|     |     |      | 11.0 |
|  4  |114.30|     |     |  6.3|  6.3|     |  8.5|  8.5|     | 10.4| 12.0 | 13.0 |
|  5  |141.30|     |     |  9.6|  9.6|     | 14.0| 14.0|     | 18.6| 22.0 | 24.0 |
|  6  |168.28|     |     | 18.0| 18.0|     | 23.0| 23.0|     | 30.0| 38.0 | 44.0 |
|  8  |219.08| 24.4| 27.0| 34.0| 34.0| 39.1| 47.5| 47.5|  56 | 66.0| 80.0 | 79.0 |
| 10  |273.05| 38.2| 46.8| 58.0| 58  |     |  88 |  70 | 106 | 123 | 174  |      |
| 12  |323.85| 55  | 72  | 88  | 80  | 121 | 146 | 104 | 177 | 207 | 300  |      |
| 14  |355.60| 87  |     | 122 | 105 | 163 | 205 | 140 |     |     | 382  |      |
| 16  |406.40| 115 | 132 | 174 | 132 | 236 | 300 | 174 |     |     | 540  |      |
| 18  |457.20| 146 | 205 | 259 | 167 | 340 | 422 | 219 |     |     |      |      |
| 20  |508.00| 210 | 275 | 338 | 210 | 457 | 573 | 275 |     |     |      |      |
| 22  |558.80|     |     |     |     |     |     |     |     |     |      |      |
| 24  |609.60| 298 | 470 | 564 | 298 | 783 | 977 | 392 |     |     |      |      |
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+
| 26  |660.40|     |     |     |     |     |     |     |     |     |      |      |
| 30  |762.00| 464 |     |     | 464 |     |     | 618 |     |     |      |      |
+-----+------+-----+-----+-----+-----+-----+-----+-----+-----+-----+------+------+


